Fuente/Origen,Titulo_URL,Precio,Latitud,Longitud,Dirección,Barrio/Zona,Provincia,Tipología/Producto,google_maps,Fecha de publicación,Vendedor,m2 totales,m2 cubiertos,Dormitorios,Baños
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-monoambiente-amplio-en-venta!-57029518.html,47000,-31.4145094,-64.1798026,emilio olmos 237,Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.4145094,-64.1798026",28-08-2025,BURNI INVERSIONES INMOBILIARIAS,40,40,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-depto-villa-allende-1-dorm-housing-pileta-57035358.html,50000,-31.28900344,-64.3085146,Elpidio Gonzalez 900,Villa Allende,Córdoba,Departamento,"https://maps.google.com/?q=-31.289003435164,-64.308514595032",28-08-2025,RE/MAX ACTIVO,44,44,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclappa-depto.-remodelado-en-excelenet-ubicacion-de-nva-cba-57033947.html,85000,-31.4249481,-64.1777345,Transito Caceres de Allende 518,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4249481,-64.1777345",28-08-2025,Atrio,43,35,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-de-departamento-2-dorm.-c-terraza-y-quincho-57025784.html,480000,-31.3658558,-64.2589031,Enrique Cavendish  al 6000,Villa Belgrano,Córdoba,Departamento,"https://maps.google.com/?q=-31.3658558,-64.2589031",27-08-2025,Must Brokers Inmobiliarios,180,180,2,3
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-1-dormitorio-alto-alberdi-escritura-venta-57025223.html,55000,-31.403644,-64.2184357,Garzon maceda 150,Alto Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.403644,-64.2184357",27-08-2025,Getprop,50,45,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-3-dorm.-en-urca-con-vista-al-rio-57018853.html,340000,-31.3830518,-64.2475167,Urca – Terrazas de Barranca,URCA,Córdoba,Departamento,"https://maps.google.com/?q=-31.3830518,-64.2475167",27-08-2025,Inmobiliaria Lamarca Matias Caballero,170,170,3,3
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-mas-urbano-1--1.5-y-2-dorm-entrega-marzo-2028-57021712.html,135000,-31.4239311,-64.1902447,avenida velez sarsfield 717,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4239311,-64.1902447",27-08-2025,Gonzalo Polo,51,43,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-nueva-cordoba-57022218.html,90000,-31.4285855,-64.1848524,Independencia al 1000,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4285855,-64.1848524",27-08-2025,CostaProp asesores inmobiliarios,45,45,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin--venta!-departamento-a-estrenar-en-gral-paz!-57022493.html,179000,-31.4132341,-64.1620152,Dpto Gral Paz - Gral Deheza al 100,General Paz,Córdoba,Departamento,"https://maps.google.com/?q=-31.4132341,-64.1620152",27-08-2025,Fábregas Molina,140,90,2,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-de-1-dormitorio-en-complejo-57024207.html,129500,-31.39227972,-64.22554481,Opera Park - Nazaret Esquina Manuel Quintana - Las Rosas,Las Rosas,Córdoba,Departamento,"https://maps.google.com/?q=-31.3922797151,-64.2255448146",28-08-2025,Duit Propiedades,58,51,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-argentina-57023839.html,191200,-31.335362,-64.27663,Tupac Yupanqui 7500,Argüello,Córdoba,Departamento,"https://maps.google.com/?q=-31.335362,-64.27663",27-08-2025,LIKE PROPIEDADES,99,99,2,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-1-dormitorio-a-la-venta-alto-alberdi-escritura-57025451.html,55000,-31.403644,-64.2184357,Garzon maceda 150,Alto Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.403644,-64.2184357",27-08-2025,Getprop,45,45,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-1-dormitorio.-vista-abierta.-luminoso-57020397.html,34000,-31.4083357,-64.1932203,Urquiza al 383,Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.4083357,-64.1932203",27-08-2025,Inmobiliaria Costamagna,28,28,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-de-1-dormitorio-desocupado-con-57023024.html,65000,-31.3957843,-64.2458121,Departamento en Venta de 1 Dormitorio con Seguridad 24hs en Ciudad Gama,Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.3957843,-64.2458121",29-08-2025,SIGI Inmobiliaria,50,46,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-hermoso-dpto-1-dorm-frente-muy-iluminado-reciclado-57025064.html,77500,-31.4307982,-64.1894568,Ambrosio Olmos 740,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4307982,-64.18945680000002",27-08-2025,Porcel de Peralta Inmobiliaria San Lorenzo,35,35,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-vendo-departamento-de-1-dorm-con-patio-en-barrio-56794319.html,70000,-31.3971875,-64.1897873,José María Bedoya 927,Cofico,Córdoba,Departamento,"https://maps.google.com/?q=-31.3971875,-64.18978729999999",27-08-2025,Inmobiliaria Up!,62,40,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-un-dormitorio-barrio-general-57021254.html,82000,-31.4034056,-64.1816011,25 de Mayo  al 1100,General Paz,Córdoba,Departamento,"https://maps.google.com/?q=-31.4034056,-64.1816011",27-08-2025,NORTEN,50,50,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-1-dormitorio-santa-rosa-156-centro-57025133.html,41000,-31.4119629,-64.1847086,Santa Rosa 156,Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.4119629,-64.1847086",27-08-2025,Viena Global - Bienes Raíces y Arte,41,41,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-1-dormitorio-independencia-1103-nueva-cordoba-57019538.html,65000,-31.4287538,-64.1893355,independencia 1103,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4287538,-64.1893355",27-08-2025,OLMOS GURDULICH Inversiones Inmobiliaria,43,42,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-a-la-venta.-4-dorm.-salguero-100-centro-57023943.html,99000,-31.4196119,-64.1795086,Obispo Salguero 169,Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.4196119,-64.17950859999999",29-08-2025,Antún Servicios Inmobiliarios,100,100,4,3
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-se-vende-dpto-en-complejo-terraforte-ii-57025680.html,69500,-31.3967488,-64.2436071,Colon  al 4800,Teodoro Felds,Córdoba,Departamento,"https://maps.google.com/?q=-31.3967488,-64.2436071",28-08-2025,Quiroga y asociados,40,40,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-b-centro-depto-en-venta-2-dorm-balcon-continuo-57026708.html,89000,-31.418756,-64.1813402,ENTRE RIOS 273,Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.418756,-64.1813402",27-08-2025,LD CARRIZO INMOBILIARIA,84,84,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-depto-1-dorm-nueva-cordoba-a-m-de-ciudad-universitaria-57021671.html,70000,-31.4307662,-64.1935995,Velez Sarsfield 1352,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4307662,-64.1935994999999",27-08-2025,Veta,45,45,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-alberdi:-urrutia-400-1-dormitorio-con-cochera-56953552.html,67000,-31.4140446,-64.2087399,Jose Urrutia al 400,Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.4140446,-64.2087399",18-08-2025,Portugal Inmobiliaria,63,40,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-igg-consultroes-inmobiliarios-vende-excelente-56948169.html,185000,-31.3509638,-64.27521,Curaquen 5800,Argüello,Córdoba,Departamento,"https://maps.google.com/?q=-31.3509638,-64.27521",18-08-2025,Inés García Galián IGG Consultores Inmobiliarios,255,140,3,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-bv-chacabuco-1200-excelente-departamento-con-balcon-56953541.html,97000,-31.4308302,-64.1860122,Bv. Chacabuco  al 1200,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4308302,-64.1860122",18-08-2025,Portugal Inmobiliaria,40,40,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-vendo-dpto-av-colon-56951530.html,53000,-31.4092921,-64.197394,Av colon 1086,Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.40929209999999,-64.197394",18-08-2025,SANCHEZ Servicios Inmobiliarios,50,42,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-villa-carlos-paz-56947208.html,85000,-31.4055542,-64.4760672,Gobernador Roca 50,Villa Carlos Paz,Córdoba,Departamento,"https://maps.google.com/?q=-31.4055542,-64.4760672",30-08-2025,RUIZ MORENO PROPIEDADES,76,76,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-b-mariano-balcarce:-vendo-a-m-de-avda.-fuerza-aerea-56954465.html,60000,-31.4314001,-64.2208575,"Olegario Correa 1769, X5011ASC Córdoba, Argentina, Córdoba, Córdoba, Argentina.",Balcarce,Córdoba,Departamento,"https://maps.google.com/?q=-31.4314001,-64.2208575",28-08-2025,Julio Toledo Inmobiliaria,70,55,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-1-dormitorio-1-bano-cordoba-56952870.html,50000,-31.40081206,-64.50788862,Grecia,Villa Carlos Paz,Córdoba,Departamento,"https://maps.google.com/?q=-31.4008120624,-64.5078886193",18-08-2025,Yacoub,50,45,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-alta-cordoba-56954965.html,68000,-31.3960559,-64.1893214,Jerónimo Luis de Cabrera al 900,Alta Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.3960559,-64.1893214",19-08-2025,CASTIÑEIRA SALGUERO GESTIÓN INMOBILIARIA,57,43,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-3-dorm.-barrio-general-paz-56955729.html,95000,-31.41417503,-64.17378235,Bv General Ocampo  300 4°,General Paz,Córdoba,Departamento,"https://maps.google.com/?q=-31.41417503,-64.17378235",18-08-2025,GRUPO BANKER INVERSIONES INMOBILIARIAS,80,74,3,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-vendo-departamento-en-barrio-general-paz-56948249.html,145000,-31.4165908,-64.1727548,"Bv General Ocampo 106, X5000 Córdoba, Argentina, Córdoba, Córdoba, Argentina.",General Paz,Córdoba,Departamento,"https://maps.google.com/?q=-31.4165908,-64.17275479999999",18-08-2025,Valentin Rigazio,82,78,2,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-1-dormitorio-alberdi-56956819.html,49000,-31.4053948,-64.2175651,Deán Funes 2600,Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.4053948,-64.2175651",28-08-2025,REMAX JARDIN,750,37,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-tres-dorm.-en-venta-balcon-zona-56947651.html,190000,-31.3848947,-64.2570574,Calandria 600 Zafira,Quebrada de las Rosas,Córdoba,Departamento,"https://maps.google.com/?q=-31.3848947,-64.2570574",18-08-2025,Inmobiliaria Malbrán,140,88,3,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-dpto-2-dorm-c-terraza-san-carlos-iii-56953309.html,31000,-31.4587589,-64.1568719,Celso Barrios 3000,Residencial San Carlos,Córdoba,Departamento,"https://maps.google.com/?q=-31.4587589,-64.1568719",18-08-2025,REMAX JARDIN,90,75,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-dorm.-nueva-cordoba-cochera-56947788.html,160000,-31.4251556,-64.1781628,Poeta Lugones al 100 - Nueva Córdoba,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4251556,-64.1781628",26-08-2025,Zavala Seppey Servicios Inmobiliarios,90,90,2,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-economico-en-jose-ignacio-diaz-2-seccion-56952454.html,17000,-31.4463121,-64.1429946,Chirino DE Posadas al 4300,José Ignacio Díaz,Córdoba,Departamento,"https://maps.google.com/?q=-31.4463121,-64.1429946",18-08-2025,Zamora Inmobiliaria SRL,45,45,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-dpto-2-dorm-complejo-cerrado-b-alto-alberdi-56956825.html,70000,-31.4172361,-64.2208123,Almirante Guillermo Brown 800,Alto Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.4172361,-64.2208123",18-08-2025,REMAX JARDIN,72,58,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-planta-baja-1-dor-cochera-patio-56945966.html,75000,-31.4202455,-64.5019339,"Centro, Villa Carlos Paz",Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.4202455,-64.5019339",18-08-2025,Castro y Lozita Bienes Raíces,40,40,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-se-vende-en-housing-seg-privada-24hs-urca-las-rosas-56952048.html,170000,-31.390876,-64.2255681,Manuel Quintana  al 1000,URCA,Córdoba,Departamento,"https://maps.google.com/?q=-31.390876,-64.2255681",23-08-2025,CONEJERO PROPIEDADES,130,130,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-dorm.-en-venta-barrio-sep-pb-56952010.html,23000,-31.4586034,-64.1597071,Celso Barrios 2800,SEP,Córdoba,Departamento,"https://maps.google.com/?q=-31.4586034,-64.1597071",18-08-2025,RE/MAX Cumbre,126,90,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-depto-3-dormit.-balcon-a-la-calle-dependenciaserv.-56953986.html,100000,-31.4215289,-64.1820854,AV CHACABUC0 380,Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.4215289,-64.1820853999999",19-08-2025,JFPROPIEDADES,98,98,3,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-un-dormitorio-nueva-cordoba-56947373.html,107000,-31.4247698,-64.1835952,Chacabuco 636,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4247698,-64.1835952",25-08-2025,Martin Latasa Negocios Inmobiliarios,57,57,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-dpto-con-patio-zona-nuevo-centro-shopping-con-56953292.html,69900,-31.4117529,-64.2080849,Jose Miguel de  Urrutia al 200,Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.4117529,-64.2080849",18-08-2025,Portugal Inmobiliaria,60,40,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-housing-del-boulevard-piso-00-depto.-93-56954005.html,145662,-31.4594891,-64.30610825,RN 20,Housing del Boulevard,Córdoba,Departamento,"https://maps.google.com/?q=-31.4594891047,-64.3061082466",18-08-2025,Grupo Gauss Bienes Raíces,99,64,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-ideal-inversor-posesion-inmediata-de-categoria-56950109.html,82500,-31.4125475,-64.1653747,Lima 1384 - Ideal Inversor -  Posesion Inmediata,General Paz,Córdoba,Departamento,"https://maps.google.com/?q=-31.4125475,-64.1653747",18-08-2025,INMOBILIARIA LIPRANDI,63,63,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-nueva-cordoba-56956588.html,175000,-31.4244129,-64.1762869,Avenida Poeta Leopoldo Lugones 0,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4244129,-64.1762869",18-08-2025,RE/MAX MEDITERRÁNEA II,109,87,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-vendo-departamento-en-guemes-a-estrenar-1-dorm-56954149.html,63000,-31.4248568,-64.1959523,Avenida J. M. de Pueyrredón 500,Güemes,Córdoba,Departamento,"https://maps.google.com/?q=-31.4248568,-64.1959523",18-08-2025,Remax Palace,42,40,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-vendo-departamento-2-dorm.-y-2-banos-con-balcon-con-56922647.html,130000,-31.4166311,-64.4901515,darwin 25,Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.4166311,-64.4901515",13-08-2025,noeliagarciarononi,75,68,2,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-dpto-2-dor-la-diva-de-gama-amoblado-56920768.html,135000,-31.40114274,-64.22694533,Av Colon y Prudencio Bustos 3500,San Salvador,Córdoba,Departamento,"https://maps.google.com/?q=-31.401142741722,-64.226945332593",13-08-2025,RE/MAX ULTRA,103,103,2,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-dpto.-1-dormitorio-centro-56923310.html,65000,-31.413323,-64.193643,Deán Funes 700,Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.413323,-64.193643",13-08-2025,RE/MAX Mediterránea,35,35,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-en-cofico-2-dorm.-apto-credito-56921333.html,96000,-31.4001372,-64.1845599,"Jujuy 1300, X5000KBF Córdoba, Argentina, Córdoba, Córdoba, Argentina.",Cofico,Córdoba,Departamento,"https://maps.google.com/?q=-31.4001372,-64.1845599",18-08-2025,Reino Inmobiliaria,71,65,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-depto-2-dorm.-terrazas-de-o-higgins.-56920142.html,140000,-31.4545885,-64.1677413,Calmayo 2000,Jardín,Córdoba,Departamento,"https://maps.google.com/?q=-31.4545885,-64.1677413",13-08-2025,RE/MAX Mediterránea,84,84,2,2
